
   ||    Test number||    Matrix dimension||    Time (serial) seconds||  Time (parallel) seconds||
   ||              1||                  10||                        0||                    0.007||
   ||              2||                  50||                    0.001||                    0.041||
   ||              3||                 100||                    0.011||                    0.057||
   ||              4||                 500||                    0.796||                    0.703||
   ||              5||                1000||                    7.092||                    5.085||
   ||              6||                1500||                     21.6||                   12.096||
   ||              7||                2000||                   39.127||                   22.081||
   ||              8||                3000||                    125.9||                   71.269||
   ||              9||                4000||                   295.93||                   167.53||
   ||             10||                5000||                   573.42||                   324.48||


                         ******************** The End ********************
